attempt,shard,cell,stage,terminal_state,usage_available,input_tokens,cached_input_tokens,output_tokens,reasoning_output_subset,total_tokens,api_equivalent_usd,uncached_sensitivity_usd,events_sha256
original,,3581ca9cfdb8dd804af0cee0,0,completed,True,2788,2048,1693,1247,4481,0.0083271000,0.0097095000,f63a0e0e57a1a75e7d8f1e8f1dd7f84a90b7179aa242f342f8464a72119a6675
original,,440d3303e3e63dd05b311154,0,completed,True,2801,2048,1148,809,3949,0.0058843500,0.0072667500,c26f29f3f851932ed43d9280d7192eb810922fd27f91300f23071fd2a4af9a80
original,,498342683ca768568cc1e230,0,completed,True,2842,2048,865,516,3707,0.0046416000,0.0060240000,22de4ef96b47d75d87b364bd2acb47c88f1c4673c5ac87e57ed86db7359fba49
original,,53177a5c3c6858ba539b1165,0,completed,True,2893,2048,273,93,3166,0.0020158500,0.0033982500,247de692ccf23aa73fe0d5333ccce6c38f6eaaaa5ce07f092420daa30ef55d49
original,,5784527f1899136d2ca2ab3e,0,completed,True,2768,2048,398,253,3166,0.0024846000,0.0038670000,d77d711dde4aeac3997dd83bc0c002b8bcf1ef4b757cbd4e374cb5f5425fd0a9
original,,62e2ed7aa0d7b359ffe18dc3,0,completed,True,2761,2048,245,149,3006,0.0017908500,0.0031732500,edd59b8bbcac5161728b16a3896ff1fa4b01f4d1eb496397ef015928b578fa7d
original,,63d248a91e7de1d5f60533b1,0,completed,True,2992,2048,739,452,3731,0.0041871000,0.0055695000,91b6009eeb8171d41ed0e3cca0d519ecd3a86830819afd917615b413c7ae63bc
original,,6951e2c1bca13eb767f4f434,0,completed,True,2753,2048,2888,2745,5641,0.0136783500,0.0150607500,1b236f747769daf77ce99161d348e26819d9beee507ea4f1021db0948ce8c01b
original,,6ce2bd612a53411e2fe6450d,0,completed,True,2811,2048,2202,1959,5013,0.0106348500,0.0120172500,641d2697b663ef4aa29467ad17c220f3dd5f0a53496e818d21251128d147fb0b
original,,736b7ad6cca3473cceb501df,0,completed,True,2760,2048,494,262,3254,0.0029106000,0.0042930000,9f18a117bdbd23c42ddfb95d7ec4bf3313d8da9c84bf1f54d4f507a70be75c14
original,,774c62b2ecb59336af82ceab,0,completed,True,2813,2048,539,326,3352,0.0031528500,0.0045352500,2642baaf782ce098ca98db17dda88f894b5d12e6aac97f5f6d21d0615aaf6eda
original,,798205e0ef93cbe750ceb010,0,completed,True,2924,2048,660,516,3584,0.0037806000,0.0051630000,d7e50b1a71c5a794e051c35e60fe5e7b2444c7a1e6273592608d7c521ab99ea7
original,,7aee05838848edb5983fb829,0,completed,True,2761,2048,514,271,3275,0.0030013500,0.0043837500,4ef6b5c3e10f453084ca34642f14e75bbab98999d41d9ba258b67d0f756c17da
original,,7b944e09c79e6db8f5af9951,0,completed,True,2791,2048,1743,1206,4534,0.0085543500,0.0099367500,35ae608b6e0fc00d03f47f4247cb02059a3aaca37cfbe30900a896efa6bca422
original,,7cee2b90701e2c7fe9080771,0,completed,True,2918,2048,6471,5939,9389,0.0299256000,0.0313080000,aa231358a6ed080fd878d73937bc5c7fb5a7ad48f71b405ec0da6f8cacf2cff0
original,,80222c3b8e45be358630b291,0,completed,True,2726,2048,274,144,3000,0.0018951000,0.0032775000,37aac894752eef68e8cbaf4019f4f8e7369b43606576f5a289dc73ef6588532a
original,,8a79eed6cb0425752bf756bb,0,completed,True,2709,2048,448,295,3157,0.0026653500,0.0040477500,1b7f8dfbc78a04be86589d2b0c902e396c71a791bdf6ff821a4f99a8ff6c86df
original,,92d43a538e2e7b03d8c76ad8,0,completed,True,2900,2048,1729,1459,4629,0.0085731000,0.0099555000,a714366f6d7bc55134f217e5cdefdb42b7b54fbdeda4160b36361bae379a3ffd
original,,9c1bf38b00f29aec7d7bf5fa,0,completed,True,2818,2048,779,516,3597,0.0042366000,0.0056190000,1335e43be28bb6f7252e52918bbb2b4c9273f1e6360aacc9b4f0a616e0ed6ba4
original,,9c86943986dba69c9554fcc2,0,completed,True,2776,2048,527,352,3303,0.0030711000,0.0044535000,96b6e1934ba5b480238fb90f3dad8ba782544e5ba98909e6d01030f4370dd143
original,,9f41807a8d90697104b17626,0,completed,True,2824,2048,582,234,3406,0.0033546000,0.0047370000,69eefed86886855d9a53a678d6b9c3380536fdcac8717f6683ae5001dc82fdde
original,,9fb4c72b9417de97742e4727,0,blocked,False,,,,,,,,35ef7d2268e6fc52d1915329d324c68ca827bc6e51797472b07d715db955c729
original,,a0531aac82fd8cca2431e2c4,0,completed,True,2774,2048,1420,1126,4194,0.0070881000,0.0084705000,3b99ffc57de444942a603c6a7e27830b634b9bc83253f29ea4b9cc781bef7193
original,,a4e98149aef9108aeb309a7c,0,completed,True,2757,2048,609,516,3366,0.0034258500,0.0048082500,ce948d8d3f5e9210e9317a98a35fc340c6f5c3c97f1abcfb08ac140357291fdc
original,,a6d1504663ddc030c8d9e21d,0,completed,True,2796,2048,4958,4614,7754,0.0230256000,0.0244080000,2e1b84792842437e33101df4ae9e36efccd01774a023805e962ad9bcf06574fb
original,,a87323db746ff87e7250848f,0,completed,True,2814,2048,1814,1402,4628,0.0088911000,0.0102735000,dad2370c4e19fd7298f97569a9ab72d04d69d0776bd8f3e127c5de585607e349
original,,ad20043f8a8c2e996de10221,0,completed,True,2725,2048,119,62,2844,0.0011968500,0.0025792500,9ec272f88586924d43ceeeb9c161d26587858227ec5208d74e96b194fbac4cbc
original,,b04d7355f6239ead04133aaf,0,completed,True,2788,2048,1469,1334,4257,0.0073191000,0.0087015000,38d28088d67bcf3106f80bb9571a7fd63cc824d76d212a1149d941032f92744e
original,,b5b093eeb16ae62588a424dc,0,completed,True,2735,2048,1188,898,3923,0.0060148500,0.0073972500,ae55ce9e077710c5abdeee45bfe61088cea6e228e60230424e1fcd1f5226e405
original,,b6e92ce3820d4182dbcbc18e,0,completed,True,2840,2048,627,462,3467,0.0035691000,0.0049515000,023c1c7bb1c8707875e5136ec03d7ed8818ede6a0e940aa1a9e014412d91e525
original,,b9c3f21dda1609243db89e9d,0,completed,True,2804,2048,1710,1357,4514,0.0084156000,0.0097980000,add1ac50f304bc7d662e61db2171b85832e942280a1b7c109bf617fc3d8e37bb
original,,be1a94f09c1dbbb7c2124347,0,completed,True,2809,2048,292,148,3101,0.0020383500,0.0034207500,cdf77c2e82594e344488f66f8f93e9935f67a66284b4deacaf02d72f928908c6
original,,c0cf7c1da40d06606bfdae97,0,completed,True,2781,2048,407,114,3188,0.0025348500,0.0039172500,6dac5eacf066469111cbb338eef8e8f271c8bcba303fdb988ba792c9d1c7f1d0
original,,c2924f6af45637e1dc3e4b31,0,completed,True,2825,2048,438,165,3263,0.0027073500,0.0040897500,6aa99db2c05f43c9b9430f2a81a9c30981495c38684d8731f7a87ae00da2138f
original,,c2a3f8921ef230afea05f5e1,0,completed,True,2818,2048,528,220,3346,0.0031071000,0.0044895000,9492abf5633c8000618f11450d8b04a390f8c3ea0365fe7e34bd872562fdc89f
original,,c7e0aa82c686fe51ebf27def,0,completed,True,2779,2048,566,182,3345,0.0032488500,0.0046312500,e958b28866d9f66bfdd43b24c00a71ce0ea9188bbd68e6c215e6ad3443f96d8f
original,,cbe935b44a75eae9c2ed287d,0,completed,True,2811,2048,859,462,3670,0.0045913500,0.0059737500,0388d8e1f4df404d40bd2e82d5824b0094872bb3fe5652bc0c26d5b1c37a546a
original,,cf6aa5a9c8f9666fe2aa88ef,0,completed,True,2837,2048,568,335,3405,0.0033013500,0.0046837500,e4110ab305b7df4f6de9762ad91f0698e259628bbedbba8f602f4c6c390d02cc
original,,d75e69b2977d845d3c56a076,0,completed,True,2882,2048,674,354,3556,0.0038121000,0.0051945000,898c84a54c08b7938d45fd6e72b9f0af6c266927002a2145f19a40cf3d58f3b5
original,,da98394a7ffcde118ef7feef,0,completed,True,2824,2048,653,390,3477,0.0036741000,0.0050565000,ff23ef250b9de2ae3757d2c5b677ad9e0222648b20dd6a9b4f1c1029b80f2ebb
original,,db2b0d3fa791ba8a83c45091,0,completed,True,2756,2048,673,380,3429,0.0037131000,0.0050955000,ff32e851feb5b4074563f1a4ee210ed71750ab1d74310db58de2c0e91da9dfc4
original,,e189cca209e28f96b07a4f5d,0,completed,True,2749,2048,2673,2202,5422,0.0127078500,0.0140902500,b3eb6ea6449a1b00a3345291d5389134944767efb4aea8071e7cb1d71c78ab02
original,,e36dc26f2ad477b34d425101,0,completed,True,2775,2048,806,516,3581,0.0043258500,0.0057082500,1f02b1316dc8210f9ab3bba7e0170f9c50b4e276f375f24c3b89af955a69d99b
original,,e6aaf8579094c9a1367445fc,0,completed,True,2723,2048,192,123,2915,0.0015238500,0.0029062500,cf6d836f2111ad5320bf402baf3b7dcb83a711049ed87f082f334c5eec10eeb6
original,,e8a30a3f0de85190e0eb317c,0,completed,True,2798,2048,574,379,3372,0.0032991000,0.0046815000,24f1bdd0fc773f44887e6cea235e7d3ea272ad6353702eb58bc67028ad921408
original,,eee692aa3245a8cbf19bd028,0,completed,True,2802,2048,1131,905,3933,0.0058086000,0.0071910000,a79419608b4f58b9d05f752d1c41dc776fe1a98b5210098483f99e0f9c385be8
original,,ef1c5f740e0e8b086e3a02c4,0,completed,True,2827,2048,1496,1023,4323,0.0074698500,0.0088522500,2a97f0586e52ba0c14e916e95c7e27d3ec57760916f4be4a70c6aab2fc2991c1
original,,fc24309e11ccd23c77433f68,0,completed,True,2767,2048,688,461,3455,0.0037888500,0.0051712500,bd12cdc6c094ae5cadb5bab87787b722acc47a141352b3814056afc3275e21c8
continuation,,0129b157da2aeac41d82a31c,0,completed,True,2785,2048,751,516,3536,0.0040858500,0.0054682500,35a2633ccb896838d8c052ccc09256152502aaf5613c5fd6a2182ab9145d6c16
continuation,,02f541f30147a0af729aec7d,0,completed,True,2994,2048,1976,1496,4970,0.0097551000,0.0111375000,660ca2b76de970c27e74ff008edebf91c5224b040b0e1f866a5168f96f3614a7
continuation,,0474f491de30b467d4d61a29,0,completed,True,3064,2048,2898,2662,5962,0.0139566000,0.0153390000,9389f2a1fe1c766718d2fac04c6e4579c2ffeb6fee272235a1a4aae128ca99b5
continuation,,06d0e155fa2d7be1c5846889,0,completed,True,2768,2048,611,493,3379,0.0034431000,0.0048255000,796e3be72a6973680c0f571a93636923846de0c98048afca3a342e2631cf8259
continuation,,095e92184303ee002a5f0940,0,completed,True,2822,2048,998,516,3820,0.0052251000,0.0066075000,f188bfe1f11a2221b5c54bd109a83eeedd1fecd4238ee5e2bbdaf9ca8d4c2065
continuation,,0ecfe7f53e578dd463116b77,0,completed,True,3037,2560,1401,1121,4438,0.0068542500,0.0085822500,4c3daff402c83b7b5aa9b027d8146bf613b412c76e0fba6d83a7bbb3dae6e2e4
continuation,,17d4f17e7adc937fbd52f229,0,completed,True,2860,2048,706,516,3566,0.0039396000,0.0053220000,bc0d0fc0737115c4123e596f0bb6adde7553ed12434abdd7b7c6ee0827981d5a
continuation,,184b86bd0cc4a74935012806,0,completed,True,2749,2048,4039,3541,6788,0.0188548500,0.0202372500,d4d5b4c2ec688367ba8cd32e90b65a904e7465b6c7c0fe135008a2c30fb0758a
continuation,,18ada7dbe140cb71128c71a2,0,completed,True,2799,2048,2531,2113,5330,0.0121063500,0.0134887500,8237710a4549306bd84d2093b386feacf0a90d3284a82e51d7dca030bcb0eeb2
continuation,,1998b9197a84c45db16051e4,0,completed,True,2760,2048,325,126,3085,0.0021501000,0.0035325000,ddedd1d4a15f670e47ecd5799bf896c194909abe1c1025a7e8304cf4d9d7f696
continuation,,1a3865e0ed6f9e8627c505d0,0,completed,True,2821,2048,393,306,3214,0.0025018500,0.0038842500,3f6871b7be59498271511a71ba2007001c42f178f417a103e682b87daf7678d4
continuation,,1e8a32de994a5d8607f24160,0,completed,True,2770,2048,3467,2988,6237,0.0162966000,0.0176790000,69ca49cc0616015bd694f1428f1c90e5720b25420f5561d700d3a0a8f380d0e5
continuation,,22ff72f0f3400891d48d4955,0,completed,True,2814,2048,1007,516,3821,0.0052596000,0.0066420000,fe5c2d095ea8cf9926eaff1d78a0d6eb8fc534386b17e3d5cbe6e814a816abdf
continuation,,2515849e06f368abef91b906,0,completed,True,2775,2048,2044,1807,4819,0.0098968500,0.0112792500,62b3bccef64dbac3e2ed01f0a24469144073bd02b85f1bcd4627878aea7c7275
continuation,,255b2934daae0090dc295d74,0,completed,True,2948,2048,785,664,3733,0.0043611000,0.0057435000,ede860581ab54837ff5d72a8a2061c188f69be7a707cbf27cb60fc6cbaebade5
continuation,,2624f29ff407542d48794147,0,completed,True,2857,2048,4119,3703,6976,0.0192958500,0.0206782500,ecda724d8cd0aabbee580ef5aa77706acb74ed87fcf4fccdb2e4a79fcfcbfe22
continuation,,268470b0230648fb163ef4cc,0,completed,True,2827,2048,1800,1731,4627,0.0088378500,0.0102202500,3640a4964c6cd21485103c94b9c51c838260527337a1151e26082cefcb243bfc
continuation,,27dd424cb08772cec03e59cd,0,completed,True,2801,2048,429,259,3230,0.0026488500,0.0040312500,83959800650591b740f3692b31c5900dba0b333f914a5e78e71c8ba05f9f902b
continuation,,2bc645f5825f5ebc4e3f8d6b,0,completed,True,2755,2048,142,80,2897,0.0013228500,0.0027052500,809f31c6269a93fbda24c531dc91e28982581d121eba83fdad154316f0f5135c
continuation,,2be1a8b02fc25cbe61b92edf,0,completed,True,2792,2048,459,283,3251,0.0027771000,0.0041595000,197b61ff7a4ce007dfda46af3bb2d2fa60cd5ff52e4c2891c70418fd9d252c03
continuation,,30e8cdf6418f28781b45da59,0,completed,True,2926,2048,1271,1034,4197,0.0065316000,0.0079140000,6412f7864fbec4d587352f30734d6375a3b26a8c23354fc8017ea47610f2ea43
continuation,,31f577b3a3538cd049ed6f0d,0,completed,True,2756,2048,746,516,3502,0.0040416000,0.0054240000,86d6e80e0068f1d495ff0b907b85f9090cabc2a6700994abe82d52ca23e3fca8
continuation,,321bba4f9f175dc385e66807,0,completed,True,2748,2048,164,108,2912,0.0014166000,0.0027990000,0f427bec3676923c10670ce03cad69244b996da5df39c611e78b4f6760b99464
continuation,,38374659db32bc8061652664,0,completed,True,2943,2048,572,394,3515,0.0033988500,0.0047812500,c46bc37a6a2d4112c6b310e7dee6577171834f7b02ed2fcd50f1b4efec1aca97
continuation,,3ecc9851d58e1b39abaaaf91,0,completed,True,3164,2048,575,300,3739,0.0035781000,0.0049605000,9cb7cfc3fcc8c07657124d8ecebb6b6d09d7246306c03a686e4f51a0e38b3f0d
continuation,,3ed14e902ec42514c97bc5b1,0,completed,True,2845,2048,695,411,3540,0.0038788500,0.0052612500,7470da3b97ceb83b04cfab05247b08c36d1e5ffc21c518ecf030b57ea5270664
continuation,,405b18cdedf0955a8e1c3a99,0,completed,True,2777,2048,671,462,3448,0.0037198500,0.0051022500,eabe069e1d04a2bcd0e35e1f502c43efd77a99dcd7335c97bf9046201fa697a8
continuation,,40a8c6c0453ea440452371c2,0,completed,True,3020,2048,2228,1732,5248,0.0109086000,0.0122910000,da0f1f0cd33bcb19e3d44041f5ff4fa6f7e462525dcd294b6ff6dff7965e9c25
continuation,,40cd6a75ce81d56f50dc91fd,0,completed,True,2862,2048,666,370,3528,0.0037611000,0.0051435000,948b902b2e475990931674feb9fbf62b66d0e13b3c54efe51e9caf8c4f043751
continuation,,43231b8cf289ac92d6cf2599,0,completed,True,2743,2048,428,308,3171,0.0026008500,0.0039832500,52ee769ffd2a4d06caeec33716263207ca220953023f8cd9db320ef2070061c1
continuation,,435fe43a67e16248ece6e89d,0,completed,True,2803,2048,709,516,3512,0.0039103500,0.0052927500,56eedcaa7ba9184aed26e1c12689be89ae36d8a71c81d015f11e9fd3efda148c
continuation,,43752ba12e23bce76206112d,0,completed,True,2947,2048,1101,830,4048,0.0057823500,0.0071647500,8291bc8eec4dffd44b0235dade92312d878a3324bd94d4b4a5b15c1491af0101
continuation,,4433d5ae6d318f566954bf1e,0,completed,True,3004,2048,444,277,3448,0.0028686000,0.0042510000,5aea7490a24b524541864d08c74ddcb1d6dd505365cabe587b439c546ce062bb
continuation,,45af6372ef35f0a98518af40,0,completed,True,2942,2048,836,516,3778,0.0045861000,0.0059685000,4a3ab829ee068cdcb84f3b07fb4bc53af1354010b37f47efd1f494574f242dae
continuation,,4968f7b3782cd11cd9b7bde6,0,completed,True,2789,2048,708,422,3497,0.0038953500,0.0052777500,61e629e365003ddab4e8b25d7e6aeb9a36d45cc33b5811657b52fcaec3f15b57
continuation,,4e0cf44e47dc77c4d6391920,0,completed,True,2789,2048,1928,1453,4717,0.0093853500,0.0107677500,bcbcce6c829a03e697d9b592eef0506e52cef5ece808f2bb22fa8df6176b45bd
continuation,,4fa5e09ec0b81c6363a59562,0,completed,True,2763,2048,700,465,3463,0.0038398500,0.0052222500,2c569d7b737cbb5505f68837d6047ddb2f40a57d061c67ef1f497d669c884bab
continuation,,5071350fb56bbd90343a2888,0,completed,True,2890,2048,5461,4817,8351,0.0253596000,0.0267420000,cfcc236fd9022bb10964a25fcf97dd56a2b98fa142924e75adf777d2df9a77f7
continuation,,518509b47de5739d58428f43,0,completed,True,2772,2048,876,716,3648,0.0046386000,0.0060210000,546ea71e19bdffea58af4aa79d1d634aa673950a7a2c0867765167ae1d2acaba
continuation,,528e1d778a2886a0548becae,0,completed,True,2901,2048,831,516,3732,0.0045328500,0.0059152500,83837a91f71b6b18d91d4bf7cffef58a2073efe4b4a7ac3b8f98bdbc7aadb447
continuation,,566a9b3dd02fc1e8ee24e01c,0,completed,True,2758,2048,346,253,3104,0.0022431000,0.0036255000,3ff4919983e1e99bd6cde2d337b0a8512918393b6d1f50411582a9fe1472abf4
continuation,,57c287f46142711c6b094fb1,0,completed,True,2773,2048,668,348,3441,0.0037033500,0.0050857500,f900ecd285565ff121961be3ba9d6934e2a4790da6f4f2287e7a3676c28990f1
continuation,,592f591c7f693cf6d0dc6a88,0,completed,True,2783,2048,521,276,3304,0.0030493500,0.0044317500,7d972f89395f66dc1495dba25a7a5a35413e419e00bb6c716501e3ea770e68b5
continuation,,59a2e608b804bf2c0ba04dc2,0,completed,True,2790,2048,1318,929,4108,0.0066411000,0.0080235000,f315f710c94b293eb281d6d204d8fed3b7d43449c860ec28d7276744701d384d
continuation,,5ba4861a3996a80328e3ba72,0,completed,True,2874,2048,2701,2303,5575,0.0129276000,0.0143100000,a7e4f6d2c2a637c600022295c8365d90204be7eff2d5e412ade1640c161db0f7
continuation,,5d3e672c1f8203e00cbe6a37,0,completed,True,2884,2048,1751,1529,4635,0.0086601000,0.0100425000,6dfc90fb8a9f85680d4cef36ec8a3265ce3fbc02874ed00a3872807d6dae424b
continuation,,5ef14fae0ef3c29ad5405fbf,0,completed,True,2844,2048,886,516,3730,0.0047376000,0.0061200000,c87a00a4a9cd38dc3b0d93884cd46f25d8d96cf990bd60679734d137efb06585
continuation,,614d01ee7082499936f09cd4,0,completed,True,2930,2048,1384,1034,4314,0.0070431000,0.0084255000,425346ca8fcc99303b3cf923a685a92f4c2a3bd919655b260a1d381d88cd15a9
continuation,,615f3ea14e91966806b788f3,0,completed,True,2839,2048,501,347,3340,0.0030013500,0.0043837500,bad3f1b23040db53064e58e4726aaaf4a2091efc7ed1674d9906e4422d98269c
continuation,,62291b379df1a1d5d868226d,0,completed,True,2863,2048,352,135,3215,0.0023488500,0.0037312500,b9d388b579862d5566154a8cb22e61ee367b069a8267a0596ecb89c5b934a77a
continuation,,633840d73fe836453b84b6b5,0,completed,True,2759,2048,331,263,3090,0.0021763500,0.0035587500,43286bac728607b5043c257bad7a1590a8d566537cddec02f90cf9c97ca868a1
continuation,,641c8cebaf06277709e17f6e,0,completed,True,2844,2048,862,396,3706,0.0046296000,0.0060120000,8eed9e175baba34b3c76610b04be996f2cea3c6dbba5a51c4b89a848db205749
continuation,,6683fab33066d39a112a6dc8,0,completed,True,2786,2048,734,466,3520,0.0040101000,0.0053925000,8c2ce74cc15b021b953e5838e2f2d779df98a27923100ca54b20b7ec7c6394b0
continuation,,674c2846af5ee04f29a8f927,0,completed,True,3147,2048,1163,975,4310,0.0062113500,0.0075937500,e474d8713c7e9213c1d3270af9edf9c5e3d270481fe480a20dd2742c94a7ac8f
continuation,,6ac864e222c09ebffc257bbe,0,completed,True,3065,2048,418,282,3483,0.0027973500,0.0041797500,5770d02307b599d4fce8f407014d2385ea2cb6fee1e5d70761dc842494650b0e
continuation,,6b92065e2ddec027f56bf5ae,0,completed,True,2877,2048,591,365,3468,0.0034348500,0.0048172500,cd8ee34524de11c58df723203559664316f92634689e3e1ad1727498572ed70f
continuation,,6e3efbddfcfd6f48e800f2ca,0,completed,True,2738,2048,294,168,3032,0.0019941000,0.0033765000,3b548dc1aaad1a5f5026e5432b735c5e90935149335ab1ed32bac6e9b1017be9
continuation,,722fde945572442f5d391694,0,completed,True,2772,2048,285,173,3057,0.0019791000,0.0033615000,8e5be8615abad2cae64bc06ad3855ab19dac0d7e8e05dd5169822fcfd14ccd7b
continuation,,72c8bdc963319df8e38f372f,0,completed,True,2805,2048,1455,1034,4260,0.0072688500,0.0086512500,e067099040d3e2221cb53dd36de63754e7c0d9a44b17d4174cd8ff2bd207ad04
continuation,,7681b110af62632d93a3f184,0,completed,True,2765,2048,380,127,3145,0.0024013500,0.0037837500,03737d01550c21c5726b3e3eb6f4dbc9ff6a28c80c289fb788cce8ba9b1d019c
continuation,,768615633753de5fcd578b60,0,completed,True,2943,0,2209,1825,5152,0.0121477500,0.0121477500,e41e7580e67efd465af56d7c9fdf7db9becf76b869b2ffb34c196bffa49fc5fd
continuation,,77f59eccbc6b013e264e5754,0,completed,True,2740,2048,811,516,3551,0.0043221000,0.0057045000,fbc7bd553f7c0b1f79b40668a2a573db29593ff7b3e418d9067cea0bc1b687d9
continuation,,7c1ded00aa6bf417d0bad438,0,completed,True,2853,2048,724,516,3577,0.0040153500,0.0053977500,bfa2142983dd028b9e2cc701c435c52b902b20f5a57ee970be00df8a7f5544e3
continuation,,7d94882366112191c2f2411a,0,completed,True,3065,2048,190,89,3255,0.0017713500,0.0031537500,462ca1d357cc23e40b7139d3af1fbac3a7c9242e12117b4dc1646bcf396c22d4
continuation,,7f2a5bbe217de926658720eb,0,completed,True,2855,2048,178,98,3033,0.0015598500,0.0029422500,9e18967766ec67184bfc3933594e16bc5932568ad84f0c5259ded8547182effd
continuation,,82cc1b9ec6e6ad560c79506b,0,completed,True,2770,2048,514,342,3284,0.0030081000,0.0043905000,98b5b9c4480001d157a5058ababbd4e4db4a1cb67fb66b3c7d35e44f2bbaf7e4
continuation,,8300f26a74d3c3eb1ad69e73,0,completed,True,2812,2048,576,345,3388,0.0033186000,0.0047010000,92cc85c4a46d54ab324da43e8b99840c89a7d83b166a1f739c061c52c8a230af
continuation,,84b683ec25b65d5914b0a1c7,0,completed,True,2785,2048,1002,617,3787,0.0052153500,0.0065977500,788ed06b7621a00b21703a44c7ab0d8582cea16784bc8d8faad9352d01b686bd
continuation,,86a99e114e9bdee4c32ac261,0,completed,True,2725,2048,679,491,3404,0.0037168500,0.0050992500,6ce71ebbd988b377799c02352ab5c0b23ca4a3f4e1e210b4b11232651e877c38
continuation,,86d11cc5a4a896e0ff4969bf,0,completed,True,2787,2048,1219,1034,4006,0.0061933500,0.0075757500,80512a173a963f8968c1f870b87729003ded6cfdb66048f66b2252fb512c292e
continuation,,8705117ba4c37b3a00818a4d,0,completed,True,2771,2048,927,479,3698,0.0048673500,0.0062497500,f214bfb0204bd8410e8b881a16d9ad8ed8c44cf805dc7307d29ccf8541a44254
continuation,,87ba04cc141ae8ead900ed38,0,completed,True,2991,2048,695,516,3686,0.0039883500,0.0053707500,90ade90f9c36ebb8f07ce31eaebaab05e262596bf1b5fd16d1e6dcfc802fe935
continuation,,87f9138248a63a7fa4d41817,0,completed,True,3098,2048,624,369,3722,0.0037491000,0.0051315000,20c90718d60af3502868b9386416a2ee79eef18f32408c534c0adc00254cd4ed
continuation,,8de1ff89cdefdcf96988f2e1,0,completed,True,3048,2048,715,516,3763,0.0041211000,0.0055035000,95d345b85427c2f3050f3c0c1a6b1b4761e0900561e2342a69827624f405001f
continuation,,8f10da2d563b5a2da0b87cdc,0,completed,True,2763,2048,553,413,3316,0.0031783500,0.0045607500,fe9d9e42d682c07cf75400411aaf5c0681ddf62bb862fb03456ab155850d3994
continuation,,93451e2e3019cc41aa306aff,0,completed,True,2997,2048,652,516,3649,0.0037993500,0.0051817500,6c9c535ccd03af9dd1c388a8284b5bd5f28cc61f7569207469bf890b04b60364
continuation,,9591908078a6d762672d4542,0,completed,True,2860,2048,835,516,3695,0.0045201000,0.0059025000,c462431cfd991c055d88235192086951101cafdec128a3f5dd8b32ccef915f2c
